Clean Technology CAD,Consumer Products & Services CAD,Financial Services CAD,Technology CAD,Industrial Products & Services CAD,Oil & Gas CAD,Real Estate CAD,Utilities & Pipelines CAD,Comm & Media CAD,Technology US,Health Care US,Consumer Services US,Capital Goods US,Consumer Durables US,Finance US,Consumer Non-Durables US,Public Utilities US,Basic Industries US,Energy US,Transportation US,Fixed Income ETF US,Fixed Income ETF CAD,
23642.564608544883,41943.116216770606,26443.993175128104,41460.147795016135,24548.736497768616,27107.57258137798,27482.250990576806,112207.42822749913,34253.28096363472,17057.645417597272,19025.440357769043,16764.66183576825,26666.207177590182,25557.33432017537,29723.16766301448,22188.20951723828,20123.283339375434,20221.259099747207,21987.853816012368,21595.847496875533,100347.47631816338,299652.5225843565,
23361.06869945146,41443.728107860305,26129.142564708174,40966.51006205684,24256.451417365934,26784.821183065076,27155.038551714315,110871.45082661601,33845.45048399184,16854.5516549991,18798.91740147871,16565.056429068936,26348.71081643754,25253.04055265989,29369.274156071813,21924.029623363615,19883.68911466452,19980.49834440852,21726.05942096968,21338.720454000548,99152.70728446884,296084.76415147755,
23327.88964441318,41384.866770925204,26092.032093846967,40908.326504208424,24222.00067596517,26746.77947069066,27116.471030242355,110713.98328878728,33797.380762574074,16830.61361927816,18772.21783892237,16541.52955510425,26311.288499093516,25217.174384328286,29327.561819354887,21892.891553659138,19855.44888199421,19952.120616369175,21695.202522658758,21308.4136821016,99011.88354157802,295664.24346331187,
23668.90417427897,41989.84395062587,26473.453739497512,41506.33746632603,24576.085606013752,27137.772422288665,27512.868250949028,112332.43560214672,34291.441652227004,17076.648896288545,19046.636105574773,16783.338909078364,26695.91530479475,25585.80708099722,29756.281470312788,22212.928823826944,20145.702165466388,20243.787078082147,22012.349911530237,21619.906868358506,100459.27082914364,299986.3576587943,
23708.63803316294,42060.33384410845,26517.895698758122,41576.01567971243,24617.34238369132,27183.329597724965,27559.05511353156,112521.01218817895,34349.00795498041,17105.31609407938,19078.61039325877,16811.5137166193,26740.730718456867,25628.75891520566,29806.234433075555,22250.21848340674,20179.521495717894,20277.771067079488,22049.30285192195,21656.20100019776,100627.91549732606,300489.9557770074,
23694.47449901817,42035.20701169791,26502.05391482049,41551.17817884631,24602.6359898058,27167.090283750564,27542.59134123253,112453.79216499996,34328.48786663417,17095.09738272967,19067.212836412116,16801.47052273286,26724.75581293689,25613.448301349395,29788.428196440225,22236.926208718607,20167.466254867282,20265.657131960703,22036.13060417939,21643.263591398354,100567.80040699188,300310.44315621257,
23978.224224983438,42538.59350676269,26819.425398883526,42048.76825716902,24897.261271342213,27492.425813922688,27872.423629590394,113800.46616327311,34739.583669808155,17299.817229878005,19295.549464746186,17002.674084214523,27044.794231122694,25920.178418399875,30145.15517673372,22503.221277566634,20408.978807655465,20508.345555286498,22300.021074530603,21902.449340097184,101772.13544331423,303906.76709889446,
23876.95248782455,42358.93227662717,26706.153883267354,41871.17579799272,24792.10799244258,27376.311889273213,27754.704788807507,113319.83128432161,34592.861462466695,17226.75166309697,19214.054947245837,16930.863497880076,26930.570872996075,25810.704861422928,30017.83748201922,22408.179197341375,20322.781734924083,20421.7288083101,22205.837207881108,21809.944612812364,101342.30207225183,302623.2205797831,
23988.52275572961,42556.86362589318,26830.944211722766,42066.827998735855,24907.954524032342,27504.233677168726,27884.39470005108,113849.34291030467,34754.50415212477,17307.2474172836,19303.836809445376,17009.976650083474,27056.40983877986,25931.31100903225,30158.102374346126,22512.88630171689,20417.744364845043,20517.153790011158,22309.59882518142,21911.856335620658,101815.84608077143,304037.2935780686,
23747.25521676262,42128.84269864703,26561.088666884072,41643.73566550836,24657.43968616974,27227.606440133946,27603.943946439817,112704.28904197436,34404.95642172948,17133.177632612784,19109.68607965428,16838.89670297538,26784.28664546962,25670.503636563164,29854.78352416662,22286.46015916664,20212.390371840756,20310.799974399863,22085.217271606736,21691.475126401318,100791.8205973397,300979.4008381648,
23730.39230083731,42098.92702519452,26542.227649011224,41614.16446635572,24639.930448636143,27208.2721282711,27584.342397472286,112624.25777380509,34380.525476668336,17121.011370393637,19096.116299619534,16826.939409520393,26765.267134806203,25652.27502274517,29833.583654963164,22270.63455319633,20198.037561952675,20296.377283894464,22069.534568126106,21676.072019052124,100720.24836799456,300765.6754924245,
23680.83909282778,42011.017105231505,26486.802837189574,41527.26681536865,24588.477965955582,27151.456499129366,27526.741467858497,112389.07863299554,34308.7329285796,17085.25970531304,19056.240270130726,16791.801818107953,26709.376577543273,25598.708587601366,29771.285916359324,22224.12957457953,20155.86052821453,20253.99489962375,22023.449521437295,21630.80859095651,100509.92688005291,300137.6241778545,
23788.471284761545,42201.96210674425,26607.1884635396,41716.01311505997,24700.235483052707,27274.863054350666,27651.85373729143,112899.90018096805,34464.67014487071,17162.91421513138,19142.853117853334,16868.122527400206,26830.77382765575,25715.057721395016,29906.59990364262,22325.140850850414,20247.471279018548,20346.051682659032,22123.54868332269,21729.123153747893,100966.75628963576,301501.7848921528,
23760.451887139265,42152.254265388896,26575.849022503367,41666.87765172165,24671.142158346007,27242.737188679646,27619.283830819353,112766.92033721015,34424.07572057374,17142.698770767838,19120.3055902416,16848.254305244234,26799.171035219395,25684.769082055784,29871.37423049197,22298.84504600506,20223.62267009276,20322.086960196808,22097.490325055212,21703.52937202311,100847.83197301,301146.659155253,
23866.079403875992,42339.64287079325,26693.992437904348,41852.10850664939,24780.81816508287,27363.845267432516,27742.065854450622,113268.22771224855,34577.10856908995,17218.90694685484,19205.305253056842,16923.153523157474,26918.30723264943,25798.951185535152,30004.167962550076,22397.974963209264,20313.527148854748,20412.429163733574,22195.72511622149,21800.012802678328,101296.1528260893,302485.41205150366,
24004.060297449854,42584.42801786527,26848.32281061893,42094.07499104648,24924.08758843668,27522.048370578315,27902.455626536954,113923.08396277814,34777.01489877344,17318.457448078196,19316.34004579893,17020.994136426936,27073.934473412464,25948.106908920137,30177.635997930054,22527.468062908192,20430.96908727303,20530.442900651236,22324.048915586653,21926.048805305,101881.79294929563,304234.220757853,
24039.101060950336,42646.59212062482,26887.515585438417,42155.52328388757,24960.471393835818,27562.224639761604,27943.187208468364,114089.38715452646,34827.78185816364,17343.738669842824,19344.53774630677,17045.841125756524,27113.45659271872,25985.985562206857,30221.688853692933,22560.353319438764,20460.79390636619,20560.41293010989,22356.637223928272,21958.05611911633,102030.51844687825,304678.3372634036,
24258.126342094634,43035.15414735715,27132.493367487794,42539.61107966779,25187.891472925625,27813.349837221358,28197.783435626974,115128.87943977222,35145.1050681196,17501.761102904027,19520.789878520398,17201.149351943677,27360.49297057482,26222.749315524554,30497.044986231027,22765.90542040861,20647.21648208626,20747.743155605523,22560.33322491419,22158.12056423338,102960.13985541034,307454.32536331203,
24343.803326392772,43187.14949003754,27228.32229406823,42689.85621975502,25276.85228349261,27911.583472568003,28297.374847370273,115535.50174262119,35269.23364147329,17563.57536217768,19589.735121212412,17261.90188419424,27457.127166207705,26315.365128043493,30604.757132155948,22846.312047603577,20720.14013733437,20821.021859801236,22640.013794147504,22236.380563414095,103323.78353346387,308540.21959253104,
24471.965839097305,43414.5163283651,27371.670897207554,42914.60496450796,25409.92700721097,28058.529232170345,28446.35167793189,116143.76003370999,35454.91512862834,17656.0420946891,19692.868951316475,17352.780400171203,27601.680355456243,26453.907297166712,30765.881608975753,22966.59073696016,20829.22519639381,20930.638029585818,22759.20638770488,22353.44815421951,103867.75094653574,310164.58737447567,
24455.72558079556,43385.7052813142,27353.50631621541,42886.12567215672,25393.064292513714,28039.9088334131,28427.473909712135,116066.68389379195,35431.386288177135,17644.325067700356,19679.800230945802,17341.26462584374,27583.363133967694,26436.351768917724,30745.464537969034,22951.34948628454,20815.40235928955,20916.747892183048,22744.102762891518,22338.6138015424,103798.8214982158,309958.75376682286,
24734.22450618571,43879.77658818347,27665.00482766015,43374.50782521874,25682.237520863215,28359.224015959786,28751.20263774581,117388.43763326813,35834.87474627831,17845.25656549439,19903.911480399598,17538.74490698479,27897.47922780745,26737.40583229261,31095.590270536522,23212.716753719185,21052.445712163048,21154.945356060554,23003.109929025348,22593.00330709527,104980.87026419958,313488.5275841706,
24521.68627116074,43502.72291233403,27427.282747610385,43001.79586346132,25461.55312330665,28115.53659339586,28504.146989732923,116379.73281858211,35526.949950455004,17691.914408636007,19732.87954790139,17388.03656817467,27657.759523021825,26507.654499546326,30828.389579788898,23013.252652965337,20871.54456228049,20973.163438988424,22805.446954664545,22398.86432992206,104078.78219300257,310794.7581338021,
24543.510361900146,43541.439963100915,27451.692794325783,43040.067093445425,25484.213687493986,28140.559180138727,28529.515436399866,116483.30978393332,35558.568631602764,17707.660060918577,19750.441641675905,17403.511771782112,27682.374692093174,26531.246084998078,30855.826582452555,23033.73425070513,20890.1200581645,20991.82937480228,22825.74360711282,22418.79912731692,104171.41141766153,311071.3628064107,
24801.036981006844,43998.30532829909,27739.73397221094,43491.671725434266,25751.610783294946,28435.828396260426,28828.865836841913,117705.5291204786,35931.672471475045,17893.460452164076,19957.676237984524,17586.120839559473,27972.836335850785,26809.62933190165,31179.586166242843,23275.419307957345,21109.31290841233,21212.089425954102,23065.246290024108,22654.031881660507,105264.4462360063,314335.3277072427,
24949.593123691757,44261.85150700326,27905.8926647355,43752.183211119205,25905.860783761425,28606.15663631884,29001.548338383356,118410.5754212529,36146.9001922622,18000.640787651428,20077.221053837984,17691.46023640471,28140.391292088818,26970.216775217414,31366.34928646706,23414.83712804334,21235.755931855427,21339.148072163953,23203.405191264712,22789.72764289734,105894.97148810202,316218.17009925825,
24565.762725906116,43580.91679249965,27476.58186078905,43079.0893533293,25507.318939799712,28166.07280703946,28555.3817103372,116588.91933088531,35590.807793851935,17723.714703940674,19768.348371813878,17419.290658877617,27707.472906208233,26555.300628814744,30883.802005474503,23054.617776794334,20909.06007729005,21010.861608639716,22846.438558566904,22439.125122718626,104265.85838680735,311353.39553501934,
38804.95004589579,36159.75487995217,42012.82782711837,43340.174447579404,50707.068359184566,39035.64375019699,49468.47832843167,24386.70333196833,38224.11492164779,18003.468974847652,19148.07125475555,16855.768283620142,20110.194012240914,19979.085062234575,18357.930922176973,35780.812264454835,27249.096548423695,26644.12703756417,23585.743963655048,32104.581011071306,78384.23844045759,334924.34123481775,
38863.820477507674,36214.61232402167,42076.564883975625,43405.92520290431,50783.99532331021,39094.86416390977,49543.52624543538,24423.700048857434,38282.10417664639,18030.78177869888,19177.120518263662,16881.339927259236,20140.702898346914,20009.39504483816,18385.78147515053,35835.09482013241,27290.435760893808,26684.548459490186,23621.525556606084,32153.286409186883,78503.15404125336,335432.45013593725,
39010.833520249354,36351.60401151019,42235.73101215623,43570.12000049994,50976.099691417316,39242.75119266022,49730.93819958717,24516.089382048976,38426.9167181931,18098.988148009175,19249.66322774961,16945.198218023503,20216.890622035993,20085.086060616304,18455.33072801953,35970.650878742075,27393.669306892647,26785.490070865933,23710.880445127324,32274.91501932044,78800.1137173383,336701.3152275029,
39351.28340631926,36668.84664201572,42604.32477223838,43950.359053390785,51420.97117367423,39585.22503817997,50164.943082754064,24730.04276586134,38762.270727277166,18256.939104114022,19417.65619435387,17093.079980143855,20393.32464017578,20260.369812435954,18616.39150721245,36284.56890838816,27632.73550345898,27019.248650728616,23917.80672220804,32556.580140255115,79487.80704035942,339639.7278186947,
39633.20390717733,36931.54962693399,42909.5507150492,44265.22825623957,51789.36134276241,39868.82154389269,50524.33481423531,24907.21376104351,39039.97142295702,18387.73548407505,19556.768184762877,17215.53823949596,20539.42651536383,20405.51917252454,18749.76307641114,36544.518850412904,27830.701972627878,27212.8199768216,24089.15869517745,32789.82202171031,80057.27366083891,342072.9750698522,
39752.01582282811,37042.262557672686,43038.184421577425,44397.9259956946,51944.61483288839,39988.339791104365,50675.79602388972,24981.880290335554,39157.00495379588,18442.858004133217,19615.395216213874,17267.146761531778,20600.99934748646,20466.69057891435,18805.970878190783,36654.071545201914,27914.13249777588,27294.398223164695,24161.37286937575,32888.11893400061,80297.26833973743,343098.43709294766,
40433.2932458484,37677.09972644942,43775.78081178027,45158.82588928999,52834.85128003755,40673.66737814207,51544.287218865335,25410.024390052567,39828.084970140495,18758.935126616387,19951.567498997894,17563.074326590104,20954.06309674766,20817.452519579238,19128.271096483884,37282.255824379434,28392.530079893237,27762.17468429422,24575.45496067005,33451.761618567914,81673.4178234235,348978.52176857163,
40995.44538455316,38200.93195704792,44384.404221631754,45786.67805064385,53569.4247530571,41239.16148634055,52260.91772239408,25763.305026100556,40381.82277750493,19019.744342356786,20228.958120431525,17807.257251163952,21245.391614382093,21106.8817131181,19394.21526386177,37800.59846147256,28787.277087281516,28148.157734919798,24917.13241152181,33916.848130887825,82808.93963772636,353830.4397457048,
40930.1512344661,38140.088676501226,44313.71241858907,45713.75282198532,53484.10381003299,41173.47916543159,52177.680860995344,25722.27136762135,40317.50595468497,18989.451268820005,20196.739111338433,17778.895326645514,21211.553714202808,21073.264420037893,19363.325764055615,37740.39279896123,28741.42709655442,28103.325680564056,24877.44646670146,33862.82818424339,82677.04841706668,353266.8879261939,
40413.52571147775,37658.67967445661,43754.379160261626,45136.74807738689,52809.02071678621,40653.78232665766,51519.08760272191,25397.60161935627,39808.61331756504,18749.764023668686,19941.813327011787,17554.48787103492,20943.818812168833,20807.27502288887,19118.919427945493,37264.02880861441,28378.649184493213,27748.601964928053,24563.440204719904,33435.40730274375,81633.48830088432,348807.90878184966,
40707.51656069991,37932.63021510281,44072.67326749564,45465.09831817345,53193.183409196616,40949.52093841932,51893.86659190506,25582.358141753917,40098.203691815994,18886.160414505426,20086.881358860657,17682.189146932258,21096.17599878261,20958.638912732335,19258.001264035713,37535.10843559612,28585.091533351617,27950.460993873894,24742.12856507626,33678.635370920696,82227.33647740528,351345.3348418842,
40937.65860113572,38147.084292736945,44321.84039460638,45722.13759198808,53493.913809903206,41181.031163062595,52187.251238098266,25726.989320448498,40324.90095058109,18992.93429463912,20200.44357666452,17782.15631352615,21215.444315790195,21077.129656743735,19366.877365554014,37747.31510338601,28746.698819851656,28108.480363949202,24882.009462605372,33869.03926971418,82692.21295711622,353331.6837791265,
41104.07520124351,38302.156866229125,44502.014108517455,45908.0036856466,53711.373126505554,41348.43710246577,52399.398811183324,25831.572685497114,40488.826615731195,19070.1429005875,20282.56085585362,17854.44295857136,21301.68769739659,21162.81077230731,19445.606095921376,37900.762566122154,28863.55767415334,28222.74478199863,24983.15788095927,34006.72106581052,83028.36693870544,354768.02038298023,
41982.48113381796,39120.68499651716,45453.0349747709,46889.07095434655,54859.200648960425,42232.06511929045,53519.18906443016,26383.600838024002,41354.08450872863,19477.677350077116,20716.005026446346,18235.997549955195,21756.910902288815,21615.06613728832,19861.16430209764,38710.71278454162,29480.380219656417,28825.87297132454,25517.05516461387,34733.454495169084,84802.70706760634,362349.51521692006,
