2004-05-03,999999.9999999998,[CFW.TO, AAB.TO, PHX.TO, EDR.TO, CMH.TO, MCB.TO, BRB.TO, BB.TO, CMG.TO, LUN.TO, SGY.TO, ACD.TO, ZAR.TO, CNQ.TO, SWY.TO, BR.TO, CGY.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, MFC.TO, CCA.TO, CGO.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, VRX.TO, HBP.TO, NPO, SF, SCI, KFY, VLO, HES, L, CLB, MSA, CIB, NVO, BCO, FMC, PNR, WAT, AET, ROG, BG, KYO, CCE, TKR, AXE, BAM, RENX, JCI, ASH, EXP, SJW, PHI, KMB, TKC, NSC, GSH, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.009828267678316719, 0.008011303343275515, 0.0032395261700700595, 0.0026113639719152547, 0.004116165419750957, 0.012264509938004113, 0.008365300970449577, 0.004857114447179458, 0.012362612553420997, 0.004968749780639249, 0.009164235200321405, 0.016725361133085218, 0.031185428865840376, 0.011938793258277115, 0.002571110065139939, 0.013285512255282666, 0.008569033096074511, 0.007782051988952899, 0.021117077607731304, 0.023330746589120082, 0.036500818918152246, 0.011659568286207235, 0.006629951447046426, 0.005115268745441232, 0.012285073980607167, 0.07895293192330115, 0.01844872463573031, 0.0729508717311555, 0.014422680069076928, 0.03126842935605651, 0.006247140908018491, 0.023527397004971053, 0.01552619334451654, 0.005537018595256741, 0.008081758424144497, 0.007017698634880722, 0.00941815899409909, 0.014046027735493936, 0.00876351483542254, 0.010623370581178584, 0.005449048114980311, 0.005112695425209064, 0.005917351130526858, 0.007594076828621981, 0.005458642923612676, 0.005890874175584627, 0.013141779532038364, 0.006495767662179472, 0.003962868862263251, 0.004745645290086914, 0.005797492646125129, 0.009539021653621292, 0.004176148238162494, 0.0049725617101110675, 0.007746625104286522, 0.014722576957498857, 0.004727297170502487, 0.008211642895749357, 0.009894061665131498, 0.005075972388107782, 0.007162013033938898, 0.009066501370346983, 0.009095513280435667, 0.012344413332655457, 0.007487345280699677, 0.011472969793385652, 0.09459743987756894, 0.010967837894398948, 0.009687987151685328, 0.04404506230051654, 0.03212390382636332]
2004-05-10,989979.01126573,[CFW.TO, AAB.TO, PHX.TO, EDR.TO, CMH.TO, MCB.TO, BRB.TO, BB.TO, CMG.TO, LUN.TO, SGY.TO, ACD.TO, ZAR.TO, CNQ.TO, SWY.TO, BR.TO, CGY.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, MFC.TO, CCA.TO, CGO.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, VRX.TO, HBP.TO, NPO, SF, SCI, KFY, VLO, HES, L, CLB, MSA, CIB, NVO, BCO, FMC, PNR, WAT, AET, ROG, BG, KYO, CCE, TKR, AXE, BAM, RENX, JCI, ASH, EXP, SJW, PHI, KMB, TKC, NSC, GSH, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.009828267678316719, 0.008011303343275515, 0.0032395261700700595, 0.0026113639719152547, 0.004116165419750957, 0.012264509938004113, 0.008365300970449577, 0.004857114447179458, 0.012362612553420997, 0.004968749780639249, 0.009164235200321405, 0.016725361133085218, 0.031185428865840376, 0.011938793258277115, 0.002571110065139939, 0.013285512255282666, 0.008569033096074511, 0.007782051988952899, 0.021117077607731304, 0.023330746589120082, 0.036500818918152246, 0.011659568286207235, 0.006629951447046426, 0.005115268745441232, 0.012285073980607167, 0.07895293192330115, 0.01844872463573031, 0.0729508717311555, 0.014422680069076928, 0.03126842935605651, 0.006247140908018491, 0.023527397004971053, 0.01552619334451654, 0.005537018595256741, 0.008081758424144497, 0.007017698634880722, 0.00941815899409909, 0.014046027735493936, 0.00876351483542254, 0.010623370581178584, 0.005449048114980311, 0.005112695425209064, 0.005917351130526858, 0.007594076828621981, 0.005458642923612676, 0.005890874175584627, 0.013141779532038364, 0.006495767662179472, 0.003962868862263251, 0.004745645290086914, 0.005797492646125129, 0.009539021653621292, 0.004176148238162494, 0.0049725617101110675, 0.007746625104286522, 0.014722576957498857, 0.004727297170502487, 0.008211642895749357, 0.009894061665131498, 0.005075972388107782, 0.007162013033938898, 0.009066501370346983, 0.009095513280435667, 0.012344413332655457, 0.007487345280699677, 0.011472969793385652, 0.09459743987756894, 0.010967837894398948, 0.009687987151685328, 0.04404506230051654, 0.03212390382636332]
2004-05-17,986162.7405761551,[CFW.TO, AAB.TO, PHX.TO, EDR.TO, CMH.TO, MCB.TO, BRB.TO, BB.TO, CMG.TO, LUN.TO, SGY.TO, ACD.TO, ZAR.TO, CNQ.TO, SWY.TO, BR.TO, CGY.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, MFC.TO, CCA.TO, CGO.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, VRX.TO, HBP.TO, NPO, SF, SCI, KFY, VLO, HES, L, CLB, MSA, CIB, NVO, BCO, FMC, PNR, WAT, AET, ROG, BG, KYO, CCE, TKR, AXE, BAM, RENX, JCI, ASH, EXP, SJW, PHI, KMB, TKC, NSC, GSH, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.009828267678316719, 0.008011303343275515, 0.0032395261700700595, 0.0026113639719152547, 0.004116165419750957, 0.012264509938004113, 0.008365300970449577, 0.004857114447179458, 0.012362612553420997, 0.004968749780639249, 0.009164235200321405, 0.016725361133085218, 0.031185428865840376, 0.011938793258277115, 0.002571110065139939, 0.013285512255282666, 0.008569033096074511, 0.007782051988952899, 0.021117077607731304, 0.023330746589120082, 0.036500818918152246, 0.011659568286207235, 0.006629951447046426, 0.005115268745441232, 0.012285073980607167, 0.07895293192330115, 0.01844872463573031, 0.0729508717311555, 0.014422680069076928, 0.03126842935605651, 0.006247140908018491, 0.023527397004971053, 0.01552619334451654, 0.005537018595256741, 0.008081758424144497, 0.007017698634880722, 0.00941815899409909, 0.014046027735493936, 0.00876351483542254, 0.010623370581178584, 0.005449048114980311, 0.005112695425209064, 0.005917351130526858, 0.007594076828621981, 0.005458642923612676, 0.005890874175584627, 0.013141779532038364, 0.006495767662179472, 0.003962868862263251, 0.004745645290086914, 0.005797492646125129, 0.009539021653621292, 0.004176148238162494, 0.0049725617101110675, 0.007746625104286522, 0.014722576957498857, 0.004727297170502487, 0.008211642895749357, 0.009894061665131498, 0.005075972388107782, 0.007162013033938898, 0.009066501370346983, 0.009095513280435667, 0.012344413332655457, 0.007487345280699677, 0.011472969793385652, 0.09459743987756894, 0.010967837894398948, 0.009687987151685328, 0.04404506230051654, 0.03212390382636332]
2004-05-24,1004539.3722261223,[CFW.TO, AAB.TO, PHX.TO, EDR.TO, CMH.TO, MCB.TO, BRB.TO, BB.TO, CMG.TO, LUN.TO, SGY.TO, ACD.TO, ZAR.TO, CNQ.TO, SWY.TO, BR.TO, CGY.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, MFC.TO, CCA.TO, CGO.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, VRX.TO, HBP.TO, NPO, SF, SCI, KFY, VLO, HES, L, CLB, MSA, CIB, NVO, BCO, FMC, PNR, WAT, AET, ROG, BG, KYO, CCE, TKR, AXE, BAM, RENX, JCI, ASH, EXP, SJW, PHI, KMB, TKC, NSC, GSH, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.009828267678316719, 0.008011303343275515, 0.0032395261700700595, 0.0026113639719152547, 0.004116165419750957, 0.012264509938004113, 0.008365300970449577, 0.004857114447179458, 0.012362612553420997, 0.004968749780639249, 0.009164235200321405, 0.016725361133085218, 0.031185428865840376, 0.011938793258277115, 0.002571110065139939, 0.013285512255282666, 0.008569033096074511, 0.007782051988952899, 0.021117077607731304, 0.023330746589120082, 0.036500818918152246, 0.011659568286207235, 0.006629951447046426, 0.005115268745441232, 0.012285073980607167, 0.07895293192330115, 0.01844872463573031, 0.0729508717311555, 0.014422680069076928, 0.03126842935605651, 0.006247140908018491, 0.023527397004971053, 0.01552619334451654, 0.005537018595256741, 0.008081758424144497, 0.007017698634880722, 0.00941815899409909, 0.014046027735493936, 0.00876351483542254, 0.010623370581178584, 0.005449048114980311, 0.005112695425209064, 0.005917351130526858, 0.007594076828621981, 0.005458642923612676, 0.005890874175584627, 0.013141779532038364, 0.006495767662179472, 0.003962868862263251, 0.004745645290086914, 0.005797492646125129, 0.009539021653621292, 0.004176148238162494, 0.0049725617101110675, 0.007746625104286522, 0.014722576957498857, 0.004727297170502487, 0.008211642895749357, 0.009894061665131498, 0.005075972388107782, 0.007162013033938898, 0.009066501370346983, 0.009095513280435667, 0.012344413332655457, 0.007487345280699677, 0.011472969793385652, 0.09459743987756894, 0.010967837894398948, 0.009687987151685328, 0.04404506230051654, 0.03212390382636332]
2004-05-31,1010047.2405411107,[CFW.TO, AAB.TO, PHX.TO, EDR.TO, CMH.TO, MCB.TO, BRB.TO, BB.TO, CMG.TO, LUN.TO, SGY.TO, ACD.TO, ZAR.TO, CNQ.TO, SWY.TO, BR.TO, CGY.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, MFC.TO, CCA.TO, CGO.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, VRX.TO, HBP.TO, NPO, SF, SCI, KFY, VLO, HES, L, CLB, MSA, CIB, NVO, BCO, FMC, PNR, WAT, AET, ROG, BG, KYO, CCE, TKR, AXE, BAM, RENX, JCI, ASH, EXP, SJW, PHI, KMB, TKC, NSC, GSH, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.009828267678316719, 0.008011303343275515, 0.0032395261700700595, 0.0026113639719152547, 0.004116165419750957, 0.012264509938004113, 0.008365300970449577, 0.004857114447179458, 0.012362612553420997, 0.004968749780639249, 0.009164235200321405, 0.016725361133085218, 0.031185428865840376, 0.011938793258277115, 0.002571110065139939, 0.013285512255282666, 0.008569033096074511, 0.007782051988952899, 0.021117077607731304, 0.023330746589120082, 0.036500818918152246, 0.011659568286207235, 0.006629951447046426, 0.005115268745441232, 0.012285073980607167, 0.07895293192330115, 0.01844872463573031, 0.0729508717311555, 0.014422680069076928, 0.03126842935605651, 0.006247140908018491, 0.023527397004971053, 0.01552619334451654, 0.005537018595256741, 0.008081758424144497, 0.007017698634880722, 0.00941815899409909, 0.014046027735493936, 0.00876351483542254, 0.010623370581178584, 0.005449048114980311, 0.005112695425209064, 0.005917351130526858, 0.007594076828621981, 0.005458642923612676, 0.005890874175584627, 0.013141779532038364, 0.006495767662179472, 0.003962868862263251, 0.004745645290086914, 0.005797492646125129, 0.009539021653621292, 0.004176148238162494, 0.0049725617101110675, 0.007746625104286522, 0.014722576957498857, 0.004727297170502487, 0.008211642895749357, 0.009894061665131498, 0.005075972388107782, 0.007162013033938898, 0.009066501370346983, 0.009095513280435667, 0.012344413332655457, 0.007487345280699677, 0.011472969793385652, 0.09459743987756894, 0.010967837894398948, 0.009687987151685328, 0.04404506230051654, 0.03212390382636332]
2004-06-07,1018369.7311513455,[CFW.TO, AAB.TO, PHX.TO, EDR.TO, CMH.TO, MCB.TO, BRB.TO, BB.TO, CMG.TO, LUN.TO, SGY.TO, ACD.TO, ZAR.TO, CNQ.TO, SWY.TO, BR.TO, CGY.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, MFC.TO, CCA.TO, CGO.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, VRX.TO, HBP.TO, NPO, SF, SCI, KFY, VLO, HES, L, CLB, MSA, CIB, NVO, BCO, FMC, PNR, WAT, AET, ROG, BG, KYO, CCE, TKR, AXE, BAM, RENX, JCI, ASH, EXP, SJW, PHI, KMB, TKC, NSC, GSH, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
