2004-05-03,999999.9999999999,[CFW.TO, POM.TO, UEX.TO, FSY.TO, AAB.TO, PHX.TO, CMH.TO, MCB.TO, AEZS.TO, YGR.TO, BRB.TO, BB.TO, EFL.TO, CMG.TO, PNP.TO, BLU.TO, SGY.TO, ACD.TO, ZAR.TO, WPRT.TO, BR.TO, CGY.TO, ONC.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, CCA.TO, CGO.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, PBR, BRFS, NAT, NPO, MT, DECK, GGB, ABEV, EGY, IHC, TNP, MOS, SF, SBS, RRC, AUO, SCI, FC, KFY, L, MSA, GPK, NVO, BCO, PNR, WAT, AET, FRO, TKR, JCI, MBT, ASH, SJW, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.002466828692566983, 0.001037962741520986, 7.825756097417983E-4, 8.737802636733464E-4, 0.016139203713095688, 0.0017277343035347395, 7.728096063841369E-4, 0.016583522280343335, 4.975638143470986E-4, 0.0017156997904695464, 0.0031630019843974498, 8.803815709468704E-4, 0.013248663592754525, 0.0011812091810827485, 0.0012897567975817467, 0.009643144803653301, 0.008638917387429106, 0.01686708503263391, 0.02649274114018173, 0.0076517750318669435, 0.0349107802991585, 0.0016071438931738245, 0.0015615127964357868, 0.0018191458363437652, 0.060896251539942936, 0.05097500146674203, 0.022932802300632264, 0.011621160289566106, 0.0035368514042708058, 0.01427545044117218, 0.24326102320962392, 0.024983438890515384, 0.05371938006647708, 6.357960509125532E-4, 0.0011011472084258725, 0.0013563688622974827, 0.009101444630575307, 0.002092194556190804, 0.0030764697223679147, 0.0016605547877676613, 0.0023436659388963786, 0.008755360828005498, 0.011625495527328967, 0.002892223288801878, 7.550138613955191E-4, 0.003089374187211095, 0.0029483877067524858, 0.0022220875240689456, 0.005906361481676034, 0.003738344728176381, 0.008595737580621614, 0.0014493337282529832, 0.0028945107539458323, 0.0010545335152086393, 0.0042386775556348165, 0.006123140392763831, 0.002629104675430305, 0.0036812827887325846, 0.02480610167039383, 0.0018134231561204267, 0.0020441094638100885, 0.0021188171253236315, 0.0021990160052651133, 0.01115516730507688, 0.0023019853857334243, 0.0019637946160302355, 0.0035628524630008027, 0.0019739298892458867, 0.00295988098656791, 0.0027374258976177865, 0.12998659687771924, 0.05865598750439279]
2004-05-10,996985.3113891791,[CFW.TO, POM.TO, UEX.TO, FSY.TO, AAB.TO, PHX.TO, CMH.TO, MCB.TO, AEZS.TO, YGR.TO, BRB.TO, BB.TO, EFL.TO, CMG.TO, PNP.TO, BLU.TO, SGY.TO, ACD.TO, ZAR.TO, WPRT.TO, BR.TO, CGY.TO, ONC.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, CCA.TO, CGO.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, PBR, BRFS, NAT, NPO, MT, DECK, GGB, ABEV, EGY, IHC, TNP, MOS, SF, SBS, RRC, AUO, SCI, FC, KFY, L, MSA, GPK, NVO, BCO, PNR, WAT, AET, FRO, TKR, JCI, MBT, ASH, SJW, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.002466828692566983, 0.001037962741520986, 7.825756097417983E-4, 8.737802636733464E-4, 0.016139203713095688, 0.0017277343035347395, 7.728096063841369E-4, 0.016583522280343335, 4.975638143470986E-4, 0.0017156997904695464, 0.0031630019843974498, 8.803815709468704E-4, 0.013248663592754525, 0.0011812091810827485, 0.0012897567975817467, 0.009643144803653301, 0.008638917387429106, 0.01686708503263391, 0.02649274114018173, 0.0076517750318669435, 0.0349107802991585, 0.0016071438931738245, 0.0015615127964357868, 0.0018191458363437652, 0.060896251539942936, 0.05097500146674203, 0.022932802300632264, 0.011621160289566106, 0.0035368514042708058, 0.01427545044117218, 0.24326102320962392, 0.024983438890515384, 0.05371938006647708, 6.357960509125532E-4, 0.0011011472084258725, 0.0013563688622974827, 0.009101444630575307, 0.002092194556190804, 0.0030764697223679147, 0.0016605547877676613, 0.0023436659388963786, 0.008755360828005498, 0.011625495527328967, 0.002892223288801878, 7.550138613955191E-4, 0.003089374187211095, 0.0029483877067524858, 0.0022220875240689456, 0.005906361481676034, 0.003738344728176381, 0.008595737580621614, 0.0014493337282529832, 0.0028945107539458323, 0.0010545335152086393, 0.0042386775556348165, 0.006123140392763831, 0.002629104675430305, 0.0036812827887325846, 0.02480610167039383, 0.0018134231561204267, 0.0020441094638100885, 0.0021188171253236315, 0.0021990160052651133, 0.01115516730507688, 0.0023019853857334243, 0.0019637946160302355, 0.0035628524630008027, 0.0019739298892458867, 0.00295988098656791, 0.0027374258976177865, 0.12998659687771924, 0.05865598750439279]
2004-05-17,984769.0344799424,[CFW.TO, POM.TO, UEX.TO, FSY.TO, AAB.TO, PHX.TO, CMH.TO, MCB.TO, AEZS.TO, YGR.TO, BRB.TO, BB.TO, EFL.TO, CMG.TO, PNP.TO, BLU.TO, SGY.TO, ACD.TO, ZAR.TO, WPRT.TO, BR.TO, CGY.TO, ONC.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, CCA.TO, CGO.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, PBR, BRFS, NAT, NPO, MT, DECK, GGB, ABEV, EGY, IHC, TNP, MOS, SF, SBS, RRC, AUO, SCI, FC, KFY, L, MSA, GPK, NVO, BCO, PNR, WAT, AET, FRO, TKR, JCI, MBT, ASH, SJW, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.002466828692566983, 0.001037962741520986, 7.825756097417983E-4, 8.737802636733464E-4, 0.016139203713095688, 0.0017277343035347395, 7.728096063841369E-4, 0.016583522280343335, 4.975638143470986E-4, 0.0017156997904695464, 0.0031630019843974498, 8.803815709468704E-4, 0.013248663592754525, 0.0011812091810827485, 0.0012897567975817467, 0.009643144803653301, 0.008638917387429106, 0.01686708503263391, 0.02649274114018173, 0.0076517750318669435, 0.0349107802991585, 0.0016071438931738245, 0.0015615127964357868, 0.0018191458363437652, 0.060896251539942936, 0.05097500146674203, 0.022932802300632264, 0.011621160289566106, 0.0035368514042708058, 0.01427545044117218, 0.24326102320962392, 0.024983438890515384, 0.05371938006647708, 6.357960509125532E-4, 0.0011011472084258725, 0.0013563688622974827, 0.009101444630575307, 0.002092194556190804, 0.0030764697223679147, 0.0016605547877676613, 0.0023436659388963786, 0.008755360828005498, 0.011625495527328967, 0.002892223288801878, 7.550138613955191E-4, 0.003089374187211095, 0.0029483877067524858, 0.0022220875240689456, 0.005906361481676034, 0.003738344728176381, 0.008595737580621614, 0.0014493337282529832, 0.0028945107539458323, 0.0010545335152086393, 0.0042386775556348165, 0.006123140392763831, 0.002629104675430305, 0.0036812827887325846, 0.02480610167039383, 0.0018134231561204267, 0.0020441094638100885, 0.0021188171253236315, 0.0021990160052651133, 0.01115516730507688, 0.0023019853857334243, 0.0019637946160302355, 0.0035628524630008027, 0.0019739298892458867, 0.00295988098656791, 0.0027374258976177865, 0.12998659687771924, 0.05865598750439279]
2004-05-24,991454.1594876876,[CFW.TO, POM.TO, UEX.TO, FSY.TO, AAB.TO, PHX.TO, CMH.TO, MCB.TO, AEZS.TO, YGR.TO, BRB.TO, BB.TO, EFL.TO, CMG.TO, PNP.TO, BLU.TO, SGY.TO, ACD.TO, ZAR.TO, WPRT.TO, BR.TO, CGY.TO, ONC.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, CCA.TO, CGO.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, PBR, BRFS, NAT, NPO, MT, DECK, GGB, ABEV, EGY, IHC, TNP, MOS, SF, SBS, RRC, AUO, SCI, FC, KFY, L, MSA, GPK, NVO, BCO, PNR, WAT, AET, FRO, TKR, JCI, MBT, ASH, SJW, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.002466828692566983, 0.001037962741520986, 7.825756097417983E-4, 8.737802636733464E-4, 0.016139203713095688, 0.0017277343035347395, 7.728096063841369E-4, 0.016583522280343335, 4.975638143470986E-4, 0.0017156997904695464, 0.0031630019843974498, 8.803815709468704E-4, 0.013248663592754525, 0.0011812091810827485, 0.0012897567975817467, 0.009643144803653301, 0.008638917387429106, 0.01686708503263391, 0.02649274114018173, 0.0076517750318669435, 0.0349107802991585, 0.0016071438931738245, 0.0015615127964357868, 0.0018191458363437652, 0.060896251539942936, 0.05097500146674203, 0.022932802300632264, 0.011621160289566106, 0.0035368514042708058, 0.01427545044117218, 0.24326102320962392, 0.024983438890515384, 0.05371938006647708, 6.357960509125532E-4, 0.0011011472084258725, 0.0013563688622974827, 0.009101444630575307, 0.002092194556190804, 0.0030764697223679147, 0.0016605547877676613, 0.0023436659388963786, 0.008755360828005498, 0.011625495527328967, 0.002892223288801878, 7.550138613955191E-4, 0.003089374187211095, 0.0029483877067524858, 0.0022220875240689456, 0.005906361481676034, 0.003738344728176381, 0.008595737580621614, 0.0014493337282529832, 0.0028945107539458323, 0.0010545335152086393, 0.0042386775556348165, 0.006123140392763831, 0.002629104675430305, 0.0036812827887325846, 0.02480610167039383, 0.0018134231561204267, 0.0020441094638100885, 0.0021188171253236315, 0.0021990160052651133, 0.01115516730507688, 0.0023019853857334243, 0.0019637946160302355, 0.0035628524630008027, 0.0019739298892458867, 0.00295988098656791, 0.0027374258976177865, 0.12998659687771924, 0.05865598750439279]
2004-05-31,996221.6528380187,[CFW.TO, POM.TO, UEX.TO, FSY.TO, AAB.TO, PHX.TO, CMH.TO, MCB.TO, AEZS.TO, YGR.TO, BRB.TO, BB.TO, EFL.TO, CMG.TO, PNP.TO, BLU.TO, SGY.TO, ACD.TO, ZAR.TO, WPRT.TO, BR.TO, CGY.TO, ONC.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, CCA.TO, CGO.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, PBR, BRFS, NAT, NPO, MT, DECK, GGB, ABEV, EGY, IHC, TNP, MOS, SF, SBS, RRC, AUO, SCI, FC, KFY, L, MSA, GPK, NVO, BCO, PNR, WAT, AET, FRO, TKR, JCI, MBT, ASH, SJW, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
,,[0.002466828692566983, 0.001037962741520986, 7.825756097417983E-4, 8.737802636733464E-4, 0.016139203713095688, 0.0017277343035347395, 7.728096063841369E-4, 0.016583522280343335, 4.975638143470986E-4, 0.0017156997904695464, 0.0031630019843974498, 8.803815709468704E-4, 0.013248663592754525, 0.0011812091810827485, 0.0012897567975817467, 0.009643144803653301, 0.008638917387429106, 0.01686708503263391, 0.02649274114018173, 0.0076517750318669435, 0.0349107802991585, 0.0016071438931738245, 0.0015615127964357868, 0.0018191458363437652, 0.060896251539942936, 0.05097500146674203, 0.022932802300632264, 0.011621160289566106, 0.0035368514042708058, 0.01427545044117218, 0.24326102320962392, 0.024983438890515384, 0.05371938006647708, 6.357960509125532E-4, 0.0011011472084258725, 0.0013563688622974827, 0.009101444630575307, 0.002092194556190804, 0.0030764697223679147, 0.0016605547877676613, 0.0023436659388963786, 0.008755360828005498, 0.011625495527328967, 0.002892223288801878, 7.550138613955191E-4, 0.003089374187211095, 0.0029483877067524858, 0.0022220875240689456, 0.005906361481676034, 0.003738344728176381, 0.008595737580621614, 0.0014493337282529832, 0.0028945107539458323, 0.0010545335152086393, 0.0042386775556348165, 0.006123140392763831, 0.002629104675430305, 0.0036812827887325846, 0.02480610167039383, 0.0018134231561204267, 0.0020441094638100885, 0.0021188171253236315, 0.0021990160052651133, 0.01115516730507688, 0.0023019853857334243, 0.0019637946160302355, 0.0035628524630008027, 0.0019739298892458867, 0.00295988098656791, 0.0027374258976177865, 0.12998659687771924, 0.05865598750439279]
2004-06-07,997064.812428261,[CFW.TO, POM.TO, UEX.TO, FSY.TO, AAB.TO, PHX.TO, CMH.TO, MCB.TO, AEZS.TO, YGR.TO, BRB.TO, BB.TO, EFL.TO, CMG.TO, PNP.TO, BLU.TO, SGY.TO, ACD.TO, ZAR.TO, WPRT.TO, BR.TO, CGY.TO, ONC.TO, MPC.TO, CTC.TO, MRD.TO, MEQ.TO, CCA.TO, CGO.TO, IPL.TO, FTS.TO, GVC.TO, ENB.TO, PBR, BRFS, NAT, NPO, MT, DECK, GGB, ABEV, EGY, IHC, TNP, MOS, SF, SBS, RRC, AUO, SCI, FC, KFY, L, MSA, GPK, NVO, BCO, PNR, WAT, AET, FRO, TKR, JCI, MBT, ASH, SJW, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
