Mon Feb 23 00:00:00 EST 2004,1075060.4171955849,[OTEX.TO, CMG.TO, PSI.TO, CGY.TO, RUS.TO, PEY.TO, WJX.TO, MRD.TO, GCG.TO, GBT.TO, CGI.TO, RET.TO, BR.TO, BMO.TO, MEQ.TO, IPL.TO, SU.TO, BLX.TO, HSE.TO, CIGI.TO, SPB.TO, CCA.TO, KEY.TO, CGO.TO, SXI.TO, AQN.TO, T.TO, CHE, AVX, PHI, SCI, HRS, PHG, MON, CW, RYN, BCH, BAM, BMO, TDY, HAE, DVA, PNR, BLL, CSL, CHL, CMS, OXY, CM, HRL, ADM, DEO, KYO, EMR, UN, KMB, CNI, AVY, NSC, CP, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Mar 01 00:00:00 EST 2004,1074339.5171246238,[OTEX.TO, CMG.TO, PSI.TO, CGY.TO, RUS.TO, PEY.TO, WJX.TO, MRD.TO, GCG.TO, GBT.TO, CGI.TO, RET.TO, BR.TO, BMO.TO, MEQ.TO, IPL.TO, SU.TO, BLX.TO, HSE.TO, CIGI.TO, SPB.TO, CCA.TO, KEY.TO, CGO.TO, SXI.TO, AQN.TO, T.TO, CHE, AVX, PHI, SCI, HRS, PHG, MON, CW, RYN, BCH, BAM, BMO, TDY, HAE, DVA, PNR, BLL, CSL, CHL, CMS, OXY, CM, HRL, ADM, DEO, KYO, EMR, UN, KMB, CNI, AVY, NSC, CP, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Mar 01 00:00:00 EST 2004,1074339.5171246242,[CMG.TO, PSI.TO, WJX.TO, PEY.TO, OTEX.TO, CGY.TO, ACD.TO, RET.TO, RUS.TO, GCG.TO, SU.TO, CIGI.TO, BR.TO, MRD.TO, CGI.TO, CTC.TO, IPL.TO, SPB.TO, HSE.TO, SXI.TO, CCA.TO, MEQ.TO, AQN.TO, KEY.TO, NPI.TO, CGO.TO, T.TO, SCI, PHI, BAM, L, DVA, CHE, BCH, CUK, CW, VGR, MMP, MON, HRS, PNR, EOCC, OXY, HRL, PRA, TDY, DEO, FE, HAE, COP, WAT, UN, BLL, CSL, KMB, AVY, KYO, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Mar 08 00:00:00 EST 2004,1063224.2474744439,[CMG.TO, PSI.TO, WJX.TO, PEY.TO, OTEX.TO, CGY.TO, ACD.TO, RET.TO, RUS.TO, GCG.TO, SU.TO, CIGI.TO, BR.TO, MRD.TO, CGI.TO, CTC.TO, IPL.TO, SPB.TO, HSE.TO, SXI.TO, CCA.TO, MEQ.TO, AQN.TO, KEY.TO, NPI.TO, CGO.TO, T.TO, SCI, PHI, BAM, L, DVA, CHE, BCH, CUK, CW, VGR, MMP, MON, HRS, PNR, EOCC, OXY, HRL, PRA, TDY, DEO, FE, HAE, COP, WAT, UN, BLL, CSL, KMB, AVY, KYO, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Mar 15 00:00:00 EST 2004,1064197.6810236373,[CMG.TO, PSI.TO, WJX.TO, PEY.TO, OTEX.TO, CGY.TO, ACD.TO, RET.TO, RUS.TO, GCG.TO, SU.TO, CIGI.TO, BR.TO, MRD.TO, CGI.TO, CTC.TO, IPL.TO, SPB.TO, HSE.TO, SXI.TO, CCA.TO, MEQ.TO, AQN.TO, KEY.TO, NPI.TO, CGO.TO, T.TO, SCI, PHI, BAM, L, DVA, CHE, BCH, CUK, CW, VGR, MMP, MON, HRS, PNR, EOCC, OXY, HRL, PRA, TDY, DEO, FE, HAE, COP, WAT, UN, BLL, CSL, KMB, AVY, KYO, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Mar 22 00:00:00 EST 2004,1061297.252324164,[CMG.TO, PSI.TO, WJX.TO, PEY.TO, OTEX.TO, CGY.TO, ACD.TO, RET.TO, RUS.TO, GCG.TO, SU.TO, CIGI.TO, BR.TO, MRD.TO, CGI.TO, CTC.TO, IPL.TO, SPB.TO, HSE.TO, SXI.TO, CCA.TO, MEQ.TO, AQN.TO, KEY.TO, NPI.TO, CGO.TO, T.TO, SCI, PHI, BAM, L, DVA, CHE, BCH, CUK, CW, VGR, MMP, MON, HRS, PNR, EOCC, OXY, HRL, PRA, TDY, DEO, FE, HAE, COP, WAT, UN, BLL, CSL, KMB, AVY, KYO, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Mar 29 00:00:00 EST 2004,1063132.8618131352,[CMG.TO, PSI.TO, WJX.TO, PEY.TO, OTEX.TO, CGY.TO, ACD.TO, RET.TO, RUS.TO, GCG.TO, SU.TO, CIGI.TO, BR.TO, MRD.TO, CGI.TO, CTC.TO, IPL.TO, SPB.TO, HSE.TO, SXI.TO, CCA.TO, MEQ.TO, AQN.TO, KEY.TO, NPI.TO, CGO.TO, T.TO, SCI, PHI, BAM, L, DVA, CHE, BCH, CUK, CW, VGR, MMP, MON, HRS, PNR, EOCC, OXY, HRL, PRA, TDY, DEO, FE, HAE, COP, WAT, UN, BLL, CSL, KMB, AVY, KYO, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Apr 05 00:00:00 EDT 2004,1058301.7969691653,[CMG.TO, PSI.TO, WJX.TO, PEY.TO, OTEX.TO, CGY.TO, ACD.TO, RET.TO, RUS.TO, GCG.TO, SU.TO, CIGI.TO, BR.TO, MRD.TO, CGI.TO, CTC.TO, IPL.TO, SPB.TO, HSE.TO, SXI.TO, CCA.TO, MEQ.TO, AQN.TO, KEY.TO, NPI.TO, CGO.TO, T.TO, SCI, PHI, BAM, L, DVA, CHE, BCH, CUK, CW, VGR, MMP, MON, HRS, PNR, EOCC, OXY, HRL, PRA, TDY, DEO, FE, HAE, COP, WAT, UN, BLL, CSL, KMB, AVY, KYO, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Apr 05 00:00:00 EDT 2004,1058301.796969165,[CMG.TO, BR.TO, WJX.TO, PSI.TO, CGY.TO, OTEX.TO, GDL.TO, PEY.TO, CTC.TO, RET.TO, ACD.TO, MFC.TO, SU.TO, POW.TO, CIGI.TO, MRD.TO, HSE.TO, CCA.TO, BLX.TO, FTS.TO, SXI.TO, SPB.TO, IPL.TO, FCR.TO, CGO.TO, AQN.TO, T.TO, BAM, PNR, SCI, MON, L, CUK, NVO, CHE, DVA, KYO, PHI, HRS, AON, WAT, ITT, OXY, HRL, TMK, MMP, CW, SBR, BLL, ADM, CSL, DEO, KMB, FE, PCG, SMG, AVY, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Apr 12 00:00:00 EDT 2004,1051122.0780799873,[CMG.TO, BR.TO, WJX.TO, PSI.TO, CGY.TO, OTEX.TO, GDL.TO, PEY.TO, CTC.TO, RET.TO, ACD.TO, MFC.TO, SU.TO, POW.TO, CIGI.TO, MRD.TO, HSE.TO, CCA.TO, BLX.TO, FTS.TO, SXI.TO, SPB.TO, IPL.TO, FCR.TO, CGO.TO, AQN.TO, T.TO, BAM, PNR, SCI, MON, L, CUK, NVO, CHE, DVA, KYO, PHI, HRS, AON, WAT, ITT, OXY, HRL, TMK, MMP, CW, SBR, BLL, ADM, CSL, DEO, KMB, FE, PCG, SMG, AVY, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
