Date,Open,High,Low,Close,Adj Close,Volume
2016-09-26,34.000000,37.400002,32.900002,37.400002,33.445576,66200
2016-10-03,36.799999,36.889999,23.940001,24.000000,21.462400,7284500
2016-10-10,23.680000,25.680000,23.350000,23.850000,21.328262,5096400
2016-10-17,23.750000,26.260000,23.510000,24.750000,22.133104,2146400
2016-10-24,24.549999,26.120001,24.110001,25.200001,22.535524,2396000
2016-10-31,25.010000,25.100000,22.830000,23.719999,21.212008,1616200
2016-11-07,23.760000,24.110001,17.580000,17.700001,15.828522,3231500
2016-11-14,17.540001,21.520000,17.000000,20.700001,18.511326,2037500
2016-11-21,20.790001,21.885000,20.684000,21.389999,19.402409,1163500
2016-11-28,21.290001,21.559999,19.780001,20.450001,18.549757,2083300
2016-12-05,20.450001,25.139999,20.391001,24.879999,22.568117,1773200
2016-12-12,24.730000,24.879999,22.500000,23.840000,21.624754,2041900
2016-12-19,23.950001,27.820000,23.320000,27.760000,25.180504,1323300
2016-12-26,27.590000,30.740000,27.480000,29.680000,26.922092,1227400
2017-01-02,29.840000,30.100000,27.100000,27.400000,24.853951,1292500
2017-01-09,27.389999,27.469999,25.860001,27.370001,24.826744,754400
2017-01-16,27.290001,27.655001,26.011000,26.290001,23.847095,563900
2017-01-23,26.290001,26.899000,25.860001,26.110001,23.683821,704300
2017-01-30,26.049999,27.840000,25.360001,27.650000,25.080725,1184300
2017-02-06,27.719999,28.360001,26.650000,27.049999,24.536472,1034500
2017-02-13,26.889999,27.549999,26.540001,26.879999,24.382273,810700
2017-02-20,26.799999,28.760000,26.250000,27.660000,25.323839,1025500
2017-02-27,27.670000,28.962999,26.700001,27.459999,25.140732,1165700
2017-03-06,27.430000,27.500000,24.298000,24.790001,22.696241,1143100
2017-03-13,24.790001,24.840000,23.260000,23.580000,21.588434,1281300
2017-03-20,23.580000,24.730000,20.440001,23.950001,21.927187,9431800
2017-03-27,23.350000,25.330000,23.290001,25.160000,23.034990,2420100
2017-04-03,24.990000,25.270000,23.350000,24.230000,22.183537,2604600
2017-04-10,24.170000,25.110001,24.150000,24.910000,22.806105,1459200
2017-04-17,24.830000,25.660000,24.260000,24.639999,22.558907,1280300
2017-04-24,24.860001,26.530001,24.700001,25.870001,23.685024,1352200
2017-05-01,25.920000,26.730000,20.830000,22.680000,20.764452,3392200
2017-05-08,22.600000,23.370001,21.790001,22.200001,20.324989,1735900
2017-05-15,22.299999,22.459999,21.275000,21.930000,20.306890,1268100
2017-05-22,22.000000,22.215000,20.940001,21.170000,19.603140,1119300
2017-05-29,20.990000,22.430000,20.190001,22.150000,20.510605,1092100
2017-06-05,22.129999,22.129999,20.620001,21.230000,19.658699,1005600
2017-06-12,21.180000,22.010000,20.889999,21.879999,20.260590,1957000
2017-06-19,21.830000,22.100000,20.480000,21.969999,20.343927,4555000
2017-06-26,21.910000,22.370001,20.973000,21.400000,19.816114,1496900
2017-07-03,21.530001,21.860001,20.660000,20.910000,19.362381,945400
2017-07-10,20.740000,20.799999,19.760000,20.370001,18.862350,1150700
2017-07-17,20.400000,21.590000,19.639999,20.820000,19.279043,1321400
2017-07-24,20.910000,21.950001,20.740000,21.370001,19.788338,1100000
2017-07-31,21.730000,21.730000,15.075000,17.150000,15.880672,3001100
2017-08-07,16.959999,18.150000,15.670000,16.510000,15.288041,1855300
2017-08-14,16.590000,16.990000,15.370000,15.440000,14.517464,1028900
2017-08-21,15.450000,15.910000,15.145000,15.310000,14.395231,829700
2017-08-28,15.350000,16.389999,15.210000,16.209999,15.241456,1005400
2017-09-04,16.219999,16.469999,15.790000,16.370001,15.391897,695900
2017-09-11,16.459999,17.370001,16.120001,16.750000,15.749190,1185300
2017-09-18,16.740000,16.990000,16.049999,16.660000,15.664569,1337500
2017-09-25,16.700001,17.990000,15.050000,16.510000,15.523533,2271200
2017-10-02,16.379999,18.000000,16.070000,16.490000,15.504727,1421700
2017-10-09,16.500000,16.910000,16.240000,16.410000,15.429507,924300
2017-10-16,16.420000,17.125000,15.880000,17.030001,16.012461,915900
2017-10-23,17.030001,17.719999,16.440001,17.180000,16.153500,866200
2017-10-30,17.070000,17.070000,15.050000,15.710000,14.771332,1575800
2017-11-06,15.730000,15.950000,13.740000,14.670000,13.793471,1745000
2017-11-13,14.600000,15.565000,13.720000,15.240000,14.329413,2084300
2017-11-20,15.250000,15.770000,14.600000,15.570000,14.911003,810900
2017-11-27,15.560000,16.730000,15.410000,15.560000,14.901426,1582200
2017-12-04,15.940000,16.830000,15.680000,15.870000,15.198305,1555600
2017-12-11,15.850000,16.629999,15.740000,16.010000,15.332380,2476700
2017-12-18,16.129999,16.420000,15.210000,15.770000,15.102538,1414500
2017-12-25,15.730000,16.480000,14.957000,15.150000,14.508779,748600
2018-01-01,15.110000,15.160000,14.110000,14.520000,13.905444,1137600
2018-01-08,14.500000,14.916000,13.760000,14.390000,13.780947,1031000
2018-01-15,14.450000,14.610000,13.870000,14.420000,13.809676,895400
2018-01-22,14.380000,14.765000,14.020000,14.550000,13.934175,1337400
2018-01-29,14.490000,14.530000,12.815000,12.830000,12.286972,1337000
2018-02-05,12.790000,13.460000,12.300000,12.890000,12.344434,1498100
2018-02-12,12.920000,13.160000,11.790000,12.980000,12.430623,1179600
2018-02-19,12.970000,15.480000,12.850000,15.040000,14.716291,1790000
2018-02-26,15.030000,16.100000,13.910000,15.030000,14.706507,2042400
2018-03-05,15.000000,16.990000,14.980000,16.510000,16.154652,2883100
2018-03-12,16.559999,18.030001,16.400000,17.830000,17.446241,2205500
2018-03-19,17.750000,18.639999,16.780001,16.799999,16.438410,1368700
2018-03-26,17.110001,17.680000,16.580000,17.450001,17.074421,1297800
2018-04-02,16.250000,16.250000,14.060000,14.950000,14.628228,2461800
2018-04-09,15.010000,16.510000,14.870000,16.379999,16.027449,1103200
2018-04-16,16.480000,17.760000,16.309999,17.480000,17.103775,1122400
2018-04-23,17.549999,18.170000,17.200001,17.770000,17.387533,781000
2018-04-30,17.809999,17.809999,12.100000,12.400000,12.133112,2802800
2018-05-07,12.450000,12.570000,11.580000,12.080000,11.820000,3538500
2018-05-14,11.820000,12.590000,11.610000,12.470000,12.201606,1978400
2018-05-21,12.570000,12.650000,11.860000,12.300000,12.300000,1671600
2018-05-28,12.160000,13.050000,12.010000,12.640000,12.640000,1273000
2018-06-04,12.740000,13.500000,12.720000,13.300000,13.300000,1155500
2018-06-11,13.290000,13.640000,12.610000,13.550000,13.550000,1601400
2018-06-18,13.480000,16.629999,13.420000,16.100000,16.100000,3546800
2018-06-22,16.040001,16.629999,15.890000,16.100000,16.100000,1605441
