FIV0003,VNP,Clean Technology CAD,25529268
AAW0001,AW,Consumer Products & Services CAD,48353438.5
FIR0005,FAP,Financial Services CAD,17897945.5
ABE0005,AAB,Financial Services CAD,1474851
ABS0003,ABT,Technology CAD,41597679
ACA0004,ADN,Industrial Products & Services CAD,11648097
ACA0006,AEF,Financial Services CAD,20903624.5
ACC0002,ACD,Financial Services CAD,665442.5
TRI0056,ASP,Life Sciences CAD,7429505
ADF0001,DRX,Industrial Products & Services CAD,471720
ADV0011,AAV,Oil & Gas CAD,623380959.5
ADV0016,AHY,Closed-End Funds CAD,753166
ARM0003,ARE,Industrial Products & Services CAD,546373311
AET0001,AEZS,Life Sciences CAD,5179670
AFR0006,AOI,Oil & Gas CAD,21187043
AGG0001,AFN,Industrial Products & Services CAD,262846458.5
AGE0001,ACR,Real Estate CAD,32283404
AGF0004,AGF,Financial Services CAD,69819210
QUA0009,QCD,ETP CAD,2956721.5
QUA0010,QEM,ETP CAD,4638962.5
QUA0011,QIE,ETP CAD,5059641.5
QUA0012,QUS,ETP CAD,6832560.5
QUA0013,QGL,ETP CAD,823505.5
QUA0014,QMA,ETP CAD,532768
QUA0015,QMY,ETP CAD,660079.5
COM0010,AJX,Technology CAD,4559400.5
AGN0001,AEM,Mining CAD,3861632953
ALL0023,AGT,Consumer Products & Services CAD,144310367.5
AER0002,AIM,Consumer Products & Services CAD,254586053.5
AIR0001,AC,Industrial Products & Services CAD,3198534540
AIR0002,BOS,Consumer Products & Services CAD,19009360.5
AKI0001,AKT,Industrial Products & Services CAD,2414047.5
AKU0001,AKU,Life Sciences CAD,27285101
ANA0004,ASR,Mining CAD,94011587.5
ALA0001,AGI,Mining CAD,624815729.5
ALA0004,AD,Financial Services CAD,329747584.5
LIQ0002,CLIQ,Consumer Products & Services CAD,134738441.5
ALD0003,IRON,Mining CAD,2342626.5
ALE0007,AXR,Mining CAD,15578457
ALG0003,ALC,Industrial Products & Services CAD,12097072
ALG0006,AQN,Clean Technology CAD,1565060825
ALI0006,AQY,SPAC CAD,42805870
ALI0002,ATD,Consumer Products & Services CAD,5471036531
TIM0009,ALO,Mining CAD,46903878.5
ALL0021,ALB,Closed-End Funds CAD,1128808
ALL0018,AP,Real Estate CAD,597377539
FAI0002,AMM,Mining CAD,3710945.5
ALT0015,ALA,Industrial Products & Services CAD,2111594517
ALT0013,ALS,Mining CAD,72209692.5
ALT0022,AIF,Technology CAD,328082147.5
AME0024,ACZ,Closed-End Funds CAD,2763531
AME0023,HOT,Real Estate CAD,140538772
SCO0013,USA,Mining CAD,18922101.5
AME0021,ARG,Mining CAD,20668039.5
ANA0005,ANX,Mining CAD,7707283
AND0004,ADW,Consumer Products & Services CAD,80050076.5
ANG0008,APY,Mining CAD,135805
