symbol,full_name,sector,sub_industry,date_first_added,cik
MMM,3M Company,Industrials,Industrial Conglomerates,,66740
ABT,Abbott Laboratories,Health Care,Health Care Equipment,3/31/64,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,12/31/12,1551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,7/6/11,1467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,8/31/15,718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,5/3/16,1144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,,796343
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,7/9/15,1158449
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,,874761
AET,Aetna Inc,Health Care,Managed Health Care,6/30/76,1122304
AFL,AFLAC Inc,Financials,Life & Health Insurance,,4977
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,7/1/14,1004434
A,Agilent Technologies Inc,Health Care,Health Care Equipment,,1090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,4/30/85,2969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,7/12/07,1086222
ALK,Alaska Air Group Inc,Industrials,Airlines,5/13/16,766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,7/1/16,915913
AGN,Allergan plc,Health Care,Pharmaceuticals,,884629
LNT,Alliant Energy Corp,Utilities,Electric Utilities,7/1/16,352541
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,5/25/12,899866
ALLE,Allegion,Industrials,Building Products,12/2/13,1579241
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,12/23/13,1101215
ALL,Allstate Corp,Financials,Property & Casualty Insurance,,899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,4/3/14,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,,764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,11/18/05,1018724
AEE,Ameren Corp,Utilities,MultiUtilities,9/19/91,1002910
AAL,American Airlines Group,Industrials,Airlines,3/23/15,6201
AEP,American Electric Power,Utilities,Electric Utilities,,4904
AXP,American Express Co,Financials,Consumer Finance,6/30/76,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,3/31/80,5272
